id,latitude,longitude,time,direction,measurement
2, 52.097668, 5.077241, 2018-03-15T13:00:00, 277.798, 158
2, 52.097668, 5.077241, 2018-03-15T14:00:00, 97.79801, 208
2, 52.097668, 5.077241, 2018-03-15T14:00:00, 277.798, 176
2, 52.097668, 5.077241, 2018-03-15T15:00:00, 97.79801, 241
2, 52.097668, 5.077241, 2018-03-15T15:00:00, 277.798, 164
2, 52.097668, 5.077241, 2018-03-15T16:00:00, 97.79801, 306
2, 52.097668, 5.077241, 2018-03-15T16:00:00, 277.798, 267
2, 52.097668, 5.077241, 2018-03-15T17:00:00, 97.79801, 338
2, 52.097668, 5.077241, 2018-03-15T17:00:00, 277.798, 350
2, 52.097668, 5.077241, 2018-03-15T18:00:00, 97.79801, 211
2, 52.097668, 5.077241, 2018-03-15T18:00:00, 277.798, 236
2, 52.097668, 5.077241, 2018-03-15T19:00:00, 97.79801, 120
2, 52.097668, 5.077241, 2018-03-15T19:00:00, 277.798, 126
2, 52.097668, 5.077241, 2018-03-15T20:00:00, 97.79801, 92
2, 52.097668, 5.077241, 2018-03-15T20:00:00, 277.798, 100
2, 52.097668, 5.077241, 2018-03-15T21:00:00, 97.79801, 68
2, 52.097668, 5.077241, 2018-03-15T21:00:00, 277.798, 98
2, 52.097668, 5.077241, 2018-03-15T22:00:00, 97.79801, 80
2, 52.097668, 5.077241, 2018-03-15T22:00:00, 277.798, 110
2, 52.097668, 5.077241, 2018-03-15T23:00:00, 97.79801, 77
2, 52.097668, 5.077241, 2018-03-15T23:00:00, 277.798, 47
3, 52.071706, 5.110506, 2018-03-15T00:00:00, 350.934, 8
3, 52.071706, 5.110506, 2018-03-15T00:00:00, 170.934, 10
3, 52.071706, 5.110506, 2018-03-15T01:00:00, 350.934, 10
3, 52.071706, 5.110506, 2018-03-15T01:00:00, 170.934, 6
3, 52.071706, 5.110506, 2018-03-15T02:00:00, 350.934, 3
3, 52.071706, 5.110506, 2018-03-15T02:00:00, 170.934, 3
3, 52.071706, 5.110506, 2018-03-15T03:00:00, 350.934, 7
3, 52.071706, 5.110506, 2018-03-15T03:00:00, 170.934, 2
3, 52.071706, 5.110506, 2018-03-15T04:00:00, 350.934, 8
3, 52.071706, 5.110506, 2018-03-15T04:00:00, 170.934, 5
3, 52.071706, 5.110506, 2018-03-15T05:00:00, 350.934, 9
3, 52.071706, 5.110506, 2018-03-15T05:00:00, 170.934, 19
3, 52.071706, 5.110506, 2018-03-15T06:00:00, 350.934, 31
3, 52.071706, 5.110506, 2018-03-15T06:00:00, 170.934, 87
3, 52.071706, 5.110506, 2018-03-15T07:00:00, 350.934, 153
3, 52.071706, 5.110506, 2018-03-15T07:00:00, 170.934, 226
3, 52.071706, 5.110506, 2018-03-15T08:00:00, 350.934, 357
3, 52.071706, 5.110506, 2018-03-15T08:00:00, 170.934, 355
3, 52.071706, 5.110506, 2018-03-15T09:00:00, 350.934, 151
3, 52.071706, 5.110506, 2018-03-15T09:00:00, 170.934, 136
3, 52.071706, 5.110506, 2018-03-15T10:00:00, 350.934, 52
3, 52.071706, 5.110506, 2018-03-15T10:00:00, 170.934, 75
3, 52.071706, 5.110506, 2018-03-15T11:00:00, 350.934, 66
3, 52.071706, 5.110506, 2018-03-15T11:00:00, 170.934, 61
3, 52.071706, 5.110506, 2018-03-15T12:00:00, 350.934, 75
3, 52.071706, 5.110506, 2018-03-15T12:00:00, 170.934, 84
3, 52.071706, 5.110506, 2018-03-15T13:00:00, 350.934, 102
3, 52.071706, 5.110506, 2018-03-15T13:00:00, 170.934, 86
3, 52.071706, 5.110506, 2018-03-15T14:00:00, 350.934, 88
3, 52.071706, 5.110506, 2018-03-15T14:00:00, 170.934, 118
3, 52.071706, 5.110506, 2018-03-15T15:00:00, 350.934, 114
3, 52.071706, 5.110506, 2018-03-15T15:00:00, 170.934, 137
3, 52.071706, 5.110506, 2018-03-15T16:00:00, 350.934, 182
3, 52.071706, 5.110506, 2018-03-15T16:00:00, 170.934, 251
3, 52.071706, 5.110506, 2018-03-15T17:00:00, 350.934, 256
3, 52.071706, 5.110506, 2018-03-15T17:00:00, 170.934, 341
3, 52.071706, 5.110506, 2018-03-15T18:00:00, 350.934, 220
3, 52.071706, 5.110506, 2018-03-15T18:00:00, 170.934, 173
3, 52.071706, 5.110506, 2018-03-15T19:00:00, 350.934, 124
3, 52.071706, 5.110506, 2018-03-15T19:00:00, 170.934, 102
3, 52.071706, 5.110506, 2018-03-15T20:00:00, 350.934, 89
3, 52.071706, 5.110506, 2018-03-15T20:00:00, 170.934, 82
3, 52.071706, 5.110506, 2018-03-15T21:00:00, 350.934, 64
3, 52.071706, 5.110506, 2018-03-15T21:00:00, 170.934, 52
3, 52.071706, 5.110506, 2018-03-15T22:00:00, 350.934, 52
3, 52.071706, 5.110506, 2018-03-15T22:00:00, 170.934, 33
3, 52.071706, 5.110506, 2018-03-15T23:00:00, 350.934, 39
3, 52.071706, 5.110506, 2018-03-15T23:00:00, 170.934, 15
4, 52.092970, 5.113132, 2018-03-15T00:00:00, 79.36446, 177
4, 52.092970, 5.113132, 2018-03-15T00:00:00, 259.3645, 233
4, 52.092970, 5.113132, 2018-03-15T01:00:00, 79.36446, 63
4, 52.092970, 5.113132, 2018-03-15T01:00:00, 259.3645, 105
4, 52.092970, 5.113132, 2018-03-15T02:00:00, 79.36446, 20
4, 52.092970, 5.113132, 2018-03-15T02:00:00, 259.3645, 94
4, 52.092970, 5.113132, 2018-03-15T03:00:00, 79.36446, 5
4, 52.092970, 5.113132, 2018-03-15T03:00:00, 259.3645, 73
4, 52.092970, 5.113132, 2018-03-15T04:00:00, 79.36446, 14
4, 52.092970, 5.113132, 2018-03-15T04:00:00, 259.3645, 51
4, 52.092970, 5.113132, 2018-03-15T05:00:00, 79.36446, 26
4, 52.092970, 5.113132, 2018-03-15T05:00:00, 259.3645, 57
4, 52.092970, 5.113132, 2018-03-15T06:00:00, 79.36446, 115
4, 52.092970, 5.113132, 2018-03-15T06:00:00, 259.3645, 313
4, 52.092970, 5.113132, 2018-03-15T07:00:00, 79.36446, 642
4, 52.092970, 5.113132, 2018-03-15T07:00:00, 259.3645, 1198
4, 52.092970, 5.113132, 2018-03-15T08:00:00, 79.36446, 1711
4, 52.092970, 5.113132, 2018-03-15T08:00:00, 259.3645, 1608
4, 52.092970, 5.113132, 2018-03-15T09:00:00, 79.36446, 1059
4, 52.092970, 5.113132, 2018-03-15T09:00:00, 259.3645, 712
4, 52.092970, 5.113132, 2018-03-15T10:00:00, 79.36446, 756
4, 52.092970, 5.113132, 2018-03-15T10:00:00, 259.3645, 506
4, 52.092970, 5.113132, 2018-03-15T11:00:00, 79.36446, 578
4, 52.092970, 5.113132, 2018-03-15T11:00:00, 259.3645, 528
4, 52.092970, 5.113132, 2018-03-15T12:00:00, 79.36446, 722
4, 52.092970, 5.113132, 2018-03-15T12:00:00, 259.3645, 662
